t,x,y,z,qw,qx,qy,qz
0,1.05,0.24,0.9,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
1,1.0474580338306647,0.23942483502148643,0.9015106773583251,-0.5007952929510948,-0.4988759854683112,-0.49670331139282564,0.5035996883760454
2,1.044914594694647,0.23882505917421734,0.9030208095008473,-0.5015745322469974,-0.4977391300910435,-0.49339383786377894,0.5071895777078507
3,1.0423695596751004,0.23820067625907343,0.9045306143539261,-0.5023408612278685,-0.49658946312036384,-0.49007166458729295,0.5107664121957435
4,1.039822806019488,0.2375516926104206,0.9060403098776184,-0.503094260168726,-0.49542701414821055,-0.48673687707469415,0.5143300997735261
5,1.0372742111522193,0.23687811709545822,0.9075501140432373,-0.5038347096774018,-0.4942518130955257,-0.4833895611619941,0.5178805487133965
6,1.0347236526872705,0.23617996111330622,0.9090602448109101,-0.5045621906950407,-0.49306389021148406,-0.4800298030076802,0.5214176676283098
7,1.032171008440785,0.23545723859383103,0.9105709201071382,-0.5052766844965909,-0.49186327607271557,-0.4766576890904977,0.5249413654743305
8,1.0296161564436535,0.2347099659962118,0.9120823578023596,-0.5059781726912858,-0.49065000158251704,-0.4732733062072239,0.5284515515529754
9,1.0270589749540715,0.23393816230724576,0.9135947756885173,-0.5066666372231179,-0.4894240979700575,-0.469876741470434,0.531948135513548
10,1.0244993424700735,0.23314184903939306,0.9151083914566365,-0.5073420603713029,-0.4881855967895743,-0.4664680823062591,0.5354310273554657
11,1.0219371377420428,0.2323210502285625,0.916623422674411,-0.5080044247507366,-0.48693452991956115,-0.4630474164521357,0.538900137430574
12,1.0193722397851945,0.23147579243163616,0.9181400867638033,-0.5086537133124417,-0.48567092956194646,-0.4596148319545473,0.5423553764454561
13,1.0168045278920326,0.23060610472373563,0.9196586009786596,-0.5092899093440069,-0.48439482824126623,-0.45617041716675816,0.5457966554637297
14,1.0142338816447767,0.22971201869522836,0.9211791823823411,-0.5099129964700169,-0.4831062588038252,-0.4527142607465394,0.5492238859083374
15,1.0116601809277612,0.2287935684484753,0.9227020478253765,-0.5105229586524745,-0.48180525441685235,-0.44924645165388666,0.5526369795638256
16,1.0090833059398012,0.2278507905943193,0.9242274139231349,-0.5111197801912122,-0.48049184856764704,-0.4457670791487301,0.5560358485786163
17,1.0065031372065272,0.22688372424831668,0.9257554970335242,-0.511703445724298,-0.4791660750627169,-0.44227623278863765,0.5594204054672672
18,1.003919555592686,0.22589241102670915,0.9272865132347149,-0.5122739402284294,-0.477827968026908,-0.43877400242650944,0.5627905631127244
19,1.0013324423144065,0.2248768950421394,0.9288206783028936,-0.5128312490193203,-0.4764775619025259,-0.4352604782082642,0.5661462347685636
20,0.9987416789514294,0.22383722289910943,0.9303582076900466,-0.5133753577520799,-0.4751148914484496,-0.4317357505705207,0.5694873340612248
21,0.9961471474592993,0.22277344368918225,0.9318993165017784,-0.5139062524215807,-0.4737399917392368,-0.42819991023826826,0.5728137749922335
22,0.993548730181519,0.22168560898592726,0.933444219475164,-0.5144239193628202,-0.4723528981642211,-0.42465304822253264,0.5761254719404161
23,0.9909463098616622,0.22057377283961085,0.9349931309566407,-0.5149283452512711,-0.4709536464266006,-0.4210952558180327,0.5794223396641017
24,0.9883397696554463,0.219437991771631,0.9365462648799393,-0.515419517103226,-0.46954227254251985,-0.4175266246008311,0.5827042933033186
25,0.9857289931427627,0.21827832476869835,0.9381038347440578,-0.5158974222761302,-0.46811881284014195,-0.41394724642597713,0.5859712483819762
26,0.9771332046740034,0.21823523703335435,0.9379808774458854,-0.5161720815267165,-0.46850488918131844,-0.4151033730315637,0.5846013520027095
27,0.9685364087144892,0.21818913099961101,0.9378580511812417,-0.5164449663132005,-0.46888935492568573,-0.41625807262073383,0.5832294459174737
28,0.9599386127103611,0.21814000382674628,0.9377353472350896,-0.5167160756974761,-0.46927220875155123,-0.4174113412239332,0.5818555348425222
29,0.9513398241215111,0.2180878527155816,0.9376127568907097,-0.5169854087475407,-0.46965344934276465,-0.4185631748765275,0.5804796235010005
30,0.9427400504214809,0.21803267490852044,0.9374902714298209,-0.5172529645374975,-0.47003307538872025,-0.41971356961881456,0.5791017166229302
31,0.9341392990973577,0.21797446768958623,0.9373678821326995,-0.5175187421475601,-0.47041108558436356,-0.42086252149603964,0.5777218189451937
32,0.9255375776496725,0.21791322838445945,0.9372455802782997,-0.5177827406640548,-0.47078747863019504,-0.42201002655840775,0.5763399352115169
33,0.9169348935922961,0.21784895436051474,0.9371233571443731,-0.5180449591794245,-0.47116225323227406,-0.42315608086109757,0.5749560701724534
34,0.9083312544523362,0.2177816430268571,0.937001204007589,-0.5183053967922301,-0.4715354081022238,-0.42430068046427555,0.5735702285853677
35,0.8997266677700336,0.2177112918343571,0.936879112143654,-0.5185640526071558,-0.47190694195723576,-0.4254438214331085,0.5721824152144193
36,0.891121141098659,0.21763789827568644,0.9367570728274324,-0.5188209257350108,-0.4722768535200743,-0.4265854998377781,0.5707926348305464
37,0.8825146820044086,0.2175614598853522,0.9366350773330654,-0.5190760152927327,-0.4726451415190806,-0.42772571175349366,0.5694008922114491
38,0.8739072980663005,0.21748197423973054,0.9365131169340922,-0.5193293204033905,-0.473011804688177,-0.4288644532605059,0.5680071921415729
39,0.8700379768092611,0.21892278745282337,0.9345628385371445,-0.5184502536627974,-0.4745622356531851,-0.43273070904624883,0.564574310801654
40,0.8661655916746634,0.22033545620043263,0.9326173058798692,-0.5175556804885262,-0.4760984728401378,-0.4365840222015408,0.5611245434942868
41,0.8622902794667934,0.22171992076368002,0.9306762427365081,-0.5166456276365471,-0.47762047030140564,-0.4404242774768582,0.5576579933992607
42,0.8584121773401208,0.2230761247979207,0.9287393723465885,-0.5157201223258152,-0.47912818251525835,-0.44425136001322757,0.554174764198325
43,0.8545314227828892,0.22440401533948406,0.9268064174480343,-0.5147791922374564,-0.4806215643872258,-0.44806515534566227,0.5506749600720875
