t,x,y,z,qw,qx,qy,qz
0,0.9295843520782396,-0.07056234718826407,0.7,0.5686410620381962,0.4202979499606144,0.5686384028878901,-0.4202943523104808
1,0.9270985664834972,-0.07276935368275905,0.7082092091334524,0.567726536814336,0.4199363656509463,0.5704724289147608,-0.41940581308413993
2,0.9246154282923732,-0.07497995428334467,0.7164193020103897,0.56680910468696,0.4195726311608326,0.572303533978453,-0.418515126393917
3,0.9221349477366386,-0.07719414571445735,0.7246302610612803,0.5658887703535528,0.41920674835268634,0.5741317087032459,-0.4176222968003535
4,0.9196571349936338,-0.07941192462698987,0.7328420686988532,0.5649655385264591,0.41883871909991993,0.5759569437284223,-0.4167273288749626
5,0.9171820001860591,-0.08163328759835972,0.7410547073184572,0.5640394139328595,0.4184685452869363,0.5777792297083171,-0.4158302272002068
6,0.914709553381769,-0.08385823113257948,0.7492681592984218,0.5631104013147462,0.41809622880911895,0.5795985573123648,-0.41493099636947345
7,0.9122398045935642,-0.08608675166032814,0.7574824070004182,0.5621785054288986,0.41772177157282253,0.5814149172251477,-0.41402964098705186
8,0.9097727637789879,-0.0883188455390245,0.7656974327698203,0.5612437310468598,0.417345175495363,0.5832283001464438,-0.41312616566811
9,0.907308440840121,-0.09055450905290152,0.7739132189360665,0.5603060829549108,0.4169664425050072,0.5850386967912733,-0.41222057503866966
10,0.9048468456233798,-0.09279373841308233,0.7821297478130214,0.5593655659540474,0.4165855745409642,0.5868460978899476,-0.4113128737355844
11,0.9023879879193141,-0.09503652975765847,0.7903470016993381,0.5584221848599545,0.4162025735533742,0.5886504941881159,-0.41040306640651436
12,0.8999318774624068,-0.09728287915176809,0.7985649628788213,0.557475944502982,0.41581744150329913,0.5904518764468123,-0.4094911577099034
13,0.8974785239308745,-0.09953278258767714,0.8067836136207888,0.5565268497281198,0.4154301803627126,0.5922502354425039,-0.40857715231495445
14,0.8950279369464689,-0.10178623598486128,0.8150029361804363,0.5555749053949737,0.4150407921144896,0.5940455619671376,-0.40766105490160665
15,0.8925801260742807,-0.10404323519008954,0.8232229127991993,0.554620116377739,0.41464927875239643,0.5958378468281875,-0.40674287016051053
16,0.8901351008225427,-0.10630377597750915,0.8314435257051185,0.5536624875651776,0.41425564228108075,0.5976270808487016,-0.4058226027930044
17,0.8876928706424351,-0.10856785404873234,0.8396647571132014,0.5527020238605909,0.41385988471606067,0.5994132548673486,-0.40490025751108966
18,0.8852534449278934,-0.11083546503292435,0.8478865892257894,0.5517387301817961,0.4134620080837152,0.6011963597384662,-0.40397583903740797
19,0.8828168330154135,-0.11310660448689278,0.8561090042329198,0.5507726114611008,0.4130620144212734,0.6029763863321059,-0.4030493521052156
20,0.8803830441838628,-0.11538126789517855,0.8643319843126923,0.5498036726452771,0.4126599057768039,0.6047533255340812,-0.4021208014583601
21,0.877952087654289,-0.11765945067014891,0.872555511631633,0.5488319186955372,0.4122556842092047,0.6065271682460138,-0.4011901918512556
22,0.8755239725897312,-0.11994114815209075,0.8807795683450602,0.5478573545875068,0.41184935178819276,0.6082979053853805,-0.4002575280488587
23,0.873098708095033,-0.12222635560930625,0.8890041365974498,0.5468799853112011,0.4114409105942926,0.6100655278855586,-0.39932281482664445
24,0.8706763032166549,-0.12451506823820993,0.8972291985228005,0.5458998158709978,0.4110303627188265,0.611830026695874,-0.39838605697058066
25,0.8682567669424901,-0.12680728116342685,0.9054547362450003,0.5449168512856125,0.4106177102639036,0.6135913927816461,-0.3974472592771049
26,0.8658401082016799,-0.12910298943789278,0.9136807318781922,0.5439310965880727,0.41020295534240875,0.6153496171242352,-0.3965064265530986
27,0.8634263358644306,-0.13140218804295514,0.9219071675271412,0.5429425568256918,0.4097861000779922,0.6171046907210874,-0.3955635636158635
28,0.8610154587418324,-0.1337048718884757,0.9301340252876,0.5419512370600436,0.40936714660505824,0.6188566045857822,-0.39461867529309635
29,0.8586074855856785,-0.1360110358129356,0.9383612872466761,0.5409571423669357,0.40894609706875484,0.620605349748077,-0.3936717664228645
30,0.8562024250882861,-0.13832067458354003,0.9465889354831988,0.5399602778363851,0.40852295362496205,0.6223509172539542,-0.39272284185358086
31,0.8538002858823183,-0.14063378289632614,0.9548169520680855,0.5389606485725901,0.4080977184402814,0.6240932981656666,-0.39177190644397947
32,0.851401076540607,-0.14295035537627146,0.9630453190647102,0.5379582596939054,0.4076703936920246,0.6258324835617831,-0.39081896506309016
33,0.849004805575978,-0.1452703865774039,0.9712740185292695,0.5369531163328158,0.40724098156820254,0.6275684645372341,-0.3898640225902138
34,0.846611481441076,-0.14759387098291335,0.9795030325111511,0.5359452236359096,0.40680948426751373,0.6293012322033583,-0.3889070839148977
35,0.8442211125281917,-0.14992080300526472,0.987732343053301,0.5349345867638523,0.4063759039993338,0.6310307776879464,-0.3879481539369098
36,0.8418337071690899,-0.1522511769863122,0.9959619321925914,0.5339212108913607,0.4059402429837034,0.6327570921352879,-0.38698723756621434
37,0.8394492736348392,-0.15458498719741548,1.0041917819601882,0.5329051012071754,0.405502503451317,0.6344801667062164,-0.38602433972294625
38,0.8409101206232055,-0.15315440221911059,1.0123326335737652,0.5335281054242842,0.4057710002170196,0.6334246376326211,-0.38661464605629714
39,0.8423720848295864,-0.1517251068222249,1.0204735804488705,0.5341500837586344,0.4060387167548977,0.6323678905924219,-0.38720420899619684
40,0.843835164358688,-0.1502971023345027,1.0286146267214034,0.5347710350142687,0.4063056525501782,0.6313099276175617,-0.3877930274090172
41,0.8452993573066381,-0.14887039007375935,1.0367557765264983,0.5353909579972045,0.4065718070895898,0.6302507507423211,-0.3883811001625616
42,0.8467646617610005,-0.1474449713478713,1.0448970339984935,0.5360098515154368,0.4068371798613627,0.6291903620033149,-0.3889684261260676
43,0.8482310758007906,-0.14602084745476607,1.053038403270899,0.5366277143789395,0.40710177035523115,0.6281287634394886,-0.38955500417020816
44,0.849698597496489,-0.14459801968241212,1.0611798884763655,0.537244545399669,0.40736557806243273,0.6270659570921134,-0.3901408331670947
45,0.8511672249100577,-0.14317648930880927,1.0693214937466513,0.5378603433915652,0.40762860247571087,0.626001945004783,-0.39072591199027873
46,0.8526369560949536,-0.14175625760197827,1.0774632232125911,0.5384751071705544,0.407890843089315,0.6249367292234096,-0.3913102395147546
47,0.8541077890961446,-0.14033732581995187,1.0856050810040656,0.5390888355545516,0.40815229939900116,0.6238703117962201,-0.39189381461696077
48,0.8555797219501241,-0.13891969521076436,1.0937470712499666,0.539701527363463,0.4084129709020342,0.6228026947737515,-0.3924766361747828
49,0.8570527526849259,-0.1375033670124425,1.1018891980781695,0.5403131814191873,0.40867285709718737,0.6217338802088478,-0.3930587030675551
50,0.8585268793201402,-0.13608834245299556,1.1100314656154973,0.5409237965456193,0.40893195748474453,0.6206638701566554,-0.39364001417606326
51,0.8600020998669278,-0.1346746227504066,1.1181738779876913,0.5415333715686508,0.4091902715664999,0.6195926666746197,-0.3942205683825457
52,0.8614784123280361,-0.13326220911262196,1.1263164393193792,0.5421419053161741,0.40944779884576,0.6185202718224804,-0.39480036457069695
53,0.8629558146978142,-0.13185110273754322,1.1344591537340423,0.5427493966180837,0.40970453882734453,0.6174466876622687,-0.3953794016256686
54,0.8644343049622286,-0.1304413048130172,1.1426020253539857,0.543355844306278,0.4099604910175862,0.616371916258302,-0.3959576784340718
55,0.8659138810988782,-0.1290328165168269,1.150745058300304,0.5439612472146628,0.4102156549243334,0.6152959596771811,-0.39653519388398
56,0.8673945410770101,-0.12762563901668267,1.1588882566928522,0.544565604179152,0.41047003005694954,0.614218819987785,-0.39711194686493023
57,0.8688762828575355,-0.12621977347021315,1.1670316246502117,0.5451689140376713,0.41072361592631496,0.6131404992612682,-0.39768793626792565
58,0.8703591043930446,-0.12481522102495618,1.1751751662896601,0.54577117563016,0.4109764120448279,0.612060999571056,-0.39826316098543785
59,0.8718430036278239,-0.12341198281835045,1.18331888572714,0.5463723877985721,0.41122841792640485,0.6109803229928404,-0.3988376199114086
60,0.8733279784978697,-0.12201005997772618,1.1914627870772254,0.5469725493868803,0.4114796330864817,0.6098984716045768,-0.39941131194125223
61,0.8762524305738132,-0.11925596705645883,1.1971669210812208,0.5481501480798612,0.411971527044688,0.6077667758093233,-0.4005376665019583
62,0.8791810215494202,-0.11650697741613705,1.2028718063180968,0.5493236677135654,0.41246035531681363,0.6056305573176638,-0.401661040461656
63,0.8821137354311818,-0.1137630992962643,1.208577474064532,0.5504930995552472,0.4129461142652433,0.6034898320262677,-0.4027814254607583
64,0.8850505561028673,-0.11102434078419535,1.2142839555739122,0.5516584349025793,0.4134288002752018,0.6013446158653424,-0.40389881316192006
65,0.8879914673260034,-0.10829070981489464,1.2199912820754006,0.5528196650837193,0.41390840975478116,0.5991949247985137,-0.405013195250101
66,0.8909364527403577,-0.10556221417070064,1.2256994847730083,0.5539767814573722,0.4143849391349675,0.5970407748227071,-0.4061245634326268
67,0.8938854958644255,-0.10283886148109386,1.2314085948446665,0.555129775412857,0.4148583848696674,0.5948821819680299,-0.40723290943925133
68,0.8968385800959204,-0.10012065922247015,1.2371186434412969,0.5562786383701694,0.41532874343573467,0.5927191622976503,-0.4083382250222178
69,0.8997956887122693,-0.09740761471791773,1.2428296616858847,0.5574233617800457,0.415796011332996,0.5905517319076794,-0.40944050195632037
70,0.9027568048711089,-0.09469973513699945,1.2485416806725533,0.5585639371240267,0.4162601850842772,0.58837990692705,-0.4105397320389655
71,0.9057219116107876,-0.09199702749553929,1.2542547314656383,0.5597003559145212,0.4167212612354297,0.5862037035173973,-0.4116359070902325
72,0.9086909918508705,-0.08929949865541362,1.2599688450987616,0.5608326096948687,0.417179236355355,0.5840231378729389,-0.4127290189529349
73,0.911664028392648,-0.08660715532434693,1.2656840525739095,0.5619606900394029,0.4176341070360315,0.581838226220354,-0.4138190594926808
74,0.9146410039196472,-0.0839200040557121,1.2714003848605087,0.563084588553514,0.4180858698925391,0.5796489848186624,-0.4149060205979337
75,0.9176219009981474,-0.0812380512483353,1.277117872894505,0.5642042968737112,0.41853452156308424,0.5774554299591037,-0.41598989418007254
76,0.9206067020776996,-0.07856130314630577,1.2828365475774424,0.5653198066676854,0.41898005870902605,0.5752575779650161,-0.4170706721734522
77,0.923595389491648,-0.07588976583878959,1.2885564397755427,0.5664311096343704,0.4194224780148993,0.5730554451917154,-0.41814834653546323
78,0.926587945457657,-0.07322344525984864,1.2942775803187871,0.5675381975040054,0.41986177618844134,0.5708490480263718,-0.4192229092465923
79,0.9295843520782396,-0.07056234718826407,1.3,0.5686410620381962,0.4202979499606144,0.5686384028878901,-0.4202943523104808
